SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity,steeringIntensity_S1,steeringIntensity_S2,steeringIntensity_S3,steering2,timeDecreasingThrottle,timeDecreasingThrottle_S1,timeDecreasingThrottle_S2,timeDecreasingThrottle_S3,timeIncreasingThrottle,timeIncreasingThrottle_S1,timeIncreasingThrottle_S2,timeIncreasingThrottle_S3,timeSameThrottle,timeSameThrottle_S1,timeSameThrottle_S2,timeSameThrottle_S3
11440267201681189e3,3,12595,12544.33817349234,1,0,1,0,0.11362226377147785,0,0.2503711830008678,0,0,1,0,1,0.853305972948012,1,0.6767538695934074,1,0,1,0.28099808663541403,0.1372996890176601,333,0.08674988840332756,0.002648559498859786,0.07436189169060094,0.11505173503483022,0.10602651667222986,400,0,400,0,401,0,401,0,11711,2052,4855,4804
136997523322341e5,3,12645,12553.52429657885,1,0,1,0,0.09505020250521938,0,0.20648837095961467,0,0,1,0,1,0.8492633286967048,1,0.6725375761342202,1,1,1,0.26789304542735715,0.12195959847165996,332,0.08813570567613571,8.427867893777933e-4,0.07784732656755972,0.14567982044922037,0.10686131643827457,100,0,100,0,951,0,951,0,11544,2052,4738,4754
17849857623809577e3,7,12612,12555.118820019145,0.8381323218345642,0,0.8381323218345642,0,0.08968375826835137,0,0.1960344096662194,0,0,1,0,1,0.7979353978845333,1,0.5583189670573425,1,0,0,0.271863640755289,0.1309997715243129,332,0.06736229990237338,2.7533270596092973e-4,0.05877327133181293,0.0800621673636045,0.08304385961410037,402,0,402,0,2152,0,2152,0,10008,2052,3201,4755
4486621736790789e3,7,12612,12556.876972098473,1,0,1,0,0.11395668556015813,0,0.24872285283130152,0,0,1,0,1,0.8588037367954675,1,0.6918238081361937,1,1,1,0.27542195361768196,0.143486086259828,331,0.07076695180132944,0,0.06215751121213751,0.13589244373717224,0.08830000699842842,200,0,200,0,350,0,350,0,11996,2052,5190,4754
15669462528722278e3,2,12595,12557.099729129412,1,0,1,0,0.11152405686587433,0,0.24131498511495267,0,0.04980544745922088,1,0.04980544745922088,1,0.8264394471815149,1,0.6244508727806906,1,1,1,0.2597120765081978,0.14412096452013723,336,0.07990316247020249,0.0016674252191723924,0.07088524379510253,0.1245890709757826,0.09727638816113475,951,0,951,0,1902,0,1902,0,9692,2035,2953,4704
1686956066918641200,1,12645,12564.840637281724,0.9824063181877136,0,0.9824063181877136,0,0.09497820653967468,0,0.2063319659310166,0,0,1,0,1,0.8086245562142084,1,0.5842533462584532,1,1,1,0.2682817739690482,0.14217936746385554,333,0.09026189289474096,4.943164115583007e-4,0.07998985058517083,0.08672370968158785,0.1086825004441048,351,0,351,0,1301,0,1301,0,10943,2052,4137,4754
12325177004376349e3,2,12662,12573.07794864726,1,0,1,0,0.11379734839338713,0,0.24837508214556664,0,0,1,0,1,0.8600297441995478,1,0.6944997025572737,1,1,1,0.27278103567805934,0.13097700936559295,332,0.07649458173004527,8.854835768882913e-4,0.06375098070339823,0.08792616912500388,0.09332059997931243,450,0,450,0,550,0,550,0,11612,2052,4805,4755
13253e15,4,12628,12574.721479305008,1,0,1,0,0.0762438574122806,0,0.17042744598039206,0,0,1,0,1,0.8687499821754384,1,0.7066176072156861,1,1,1,0.29491314819386083,0.1525568151496932,316,0.07198377033089827,4.3090586925619885e-4,0.0620901977439713,0.09433061238869879,0.08836559789675436,100,0,100,0,667,0,667,0,11811,2135,4872,4804
849042e13,5,12670,12585.434116852835,1,0,1,0,0.0746030704716156,0,0.16749120723529423,0,0,1,0,1,0.8828196331572054,1,0.7369185881666667,1,0,0,0.3074943230035992,0.08988924421908802,317,0.1265136359288485,5.375660577983378e-4,0.11492767219653229,0.1468805383260455,0.15272248653711792,467,0,467,0,500,0,500,0,11653,2135,4655,4863
9380732602589082e3,1,12662,12589.950184305337,1,0,1,0,0.09909067675471306,0,0.21342607301015137,0,0,1,0,1,0.8567813260717285,1,0.6915290100006466,1,1,1,0.26805448092208817,0.13206697582053073,332,0.09879101237362012,6.323718795336598e-4,0.09182031808130238,0.0779375870926914,0.12190318315228188,250,0,250,0,351,0,351,0,11995,2052,5238,4705
