"SESSION_IDENTIFIER","LAP_NUM","CURRENT_LAP_TIME_MS","NORMALISED_LAP_TIME_MS","maxBrake","maxBrake_S1","maxBrake_S2","maxBrake_S3","aveBrake","aveBrake_S1","aveBrake_S2","aveBrake_S3","minThrottle","minThrottle_S1","minThrottle_S2","minThrottle_S3","aveThrottle","aveThrottle_S1","aveThrottle_S2","aveThrottle_S3","firstBrakeDist","firstBrakeLateral","firstBrakeSpeed","timeDecreasingThrottle","timeDecreasingThrottle_S1","timeDecreasingThrottle_S2","timeDecreasingThrottle_S3","timeIncreasingThrottle","timeIncreasingThrottle_S1","timeIncreasingThrottle_S2","timeIncreasingThrottle_S3","timeSameThrottle","timeSameThrottle_S1","timeSameThrottle_S2","timeSameThrottle_S3","FROM_2022"
13252952924527083520,4,12628,12574.7228032237,1,0,1,0,0.0762438574119619,0,0.168772810581818,0,0,1,0,1,0.868749982170891,1,0.709465979951099,1,0.302716184305775,0.15255681613744,316,100,0,100,0,667,0,667,0,11761,1985,4905,4871,TRUE
8490420905106728960,5,12670,12585.4411003262,1,0,1,0,0.074603070468361,0,0.165865079002473,0,0,1,0,1,0.882819633166342,1,0.739472776651382,1,0.315213111483557,0.089889245897542,317,467,0,467,0,500,0,500,0,11603,1985,4705,4913,TRUE
1442676670598973184,2,12662,12589.9173789947,0.990787446498871,0,0.990787446498871,0,0.108542908248492,0,0.23596284401846,0,0.0235294122248888,1,0.0235294122248888,1,0.846324688382447,1,0.665923235614015,1,0.288393713023483,0.187374792269707,325,951,0,951,0,1419,0,1419,0,10142,1918,3353,4871,TRUE
9380732602589079552,1,12662,12589.9671865302,1,0,1,0,0.0990906767547131,0,0.211617377476167,0,0,1,0,1,0.856781326071729,1,0.694143170932844,1,0.276007372204801,0.132066975820531,332,250,0,250,0,351,0,351,0,11945,1902,5288,4755,FALSE
6743744306563796992,2,12662,12590.9396276595,0.873563766479492,0,0.873563766479492,0,0.103219810675601,0,0.223795164739136,0,0,1,0,1,0.80122408459001,1,0.569025670128784,1,0.275448556733606,0.138580877005266,332,901,0,901,0,1401,0,1401,0,10244,1936,3453,4855,FALSE
9729094767838013440,2,12670,12600.546873618,0.722407877445221,0,0.722407877445221,0,0.076294427583759,0,0.164326459411174,0,0,1,0,1,0.81588968250123,1,0.60345470077188,1,0.27065603543961,0.194129240724505,317,442,0,442,0,1635,0,1635,0,10443,1968,3671,4804,TRUE
10419879221391935488,3,12695,12611.823446781,1,0,1,0,0.109261684738129,0,0.234264459650395,0,0,1,0,1,0.867181939006647,1,0.715229072615946,1,0.277065497790721,0.15027110241935,332,200,0,200,0,501,0,501,0,11894,1902,5204,4788,FALSE
12702044508946737152,3,12679,12615.6394201151,1,0,1,0,0.120507000526228,0,0.25852356523148,0,0,1,0,1,0.817555839307161,1,0.608602698000832,1,0.274900305134684,0.118652322819699,334,751,0,751,0,1752,0,1752,0,10043,1902,3403,4738,FALSE
508450525573018496,2,12679,12616.2058837923,1,0.00096131837926805,1,0.0149691002443433,0.091420614902514,7.39475676360038e-05,0.194775154308663,0.00256685360606449,0,1,0,1,0.810156271881646,1,0.591105816360467,1,0.0943313677912023,0.122693756113698,316,401,0,401,0,1201,0,1201,0,10944,1902,4254,4788,FALSE
1442676670598973184,3,12595,12618.916560808,0.976470589637756,0,0.976470589637756,0,0.107798944429431,0,0.231522732922299,0,0.00653594732284546,1,0.00653594732284546,1,0.81669237840152,1,0.606305221794173,1,0.294174156954757,0.142301072713025,321,1001,0,1001,0,1551,0,1551,0,9893,1918,3254,4721,TRUE
