SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity
972909e13,3,12637,12621.23114609292,0.716456831,0,0.716456831,0,0.06709656453333339,0,0.1556363610309278,0,0,1,0,1,0.8426900641066668,1,0.6351058188041236,1,1,1,0.25317461574908,0.23082784122576364,315,0.0717700003346676
927515e13,2,12687,12621.452962563188,1,0,1,0,0.06739247393859633,0,0.15365484058000012,0,0,1,0,1,0.847134114872807,1,0.6514657819100002,1,0,0,0.29155004266367057,0.1434646565106198,311,0.08881622291229843
169509e13,4,12712,12622.155150535533,0.939681113,0,0.939681113,0,0.11323649520463328,0,0.2506688227179488,0,0,1,0,1,0.822289188760618,1,0.6066059819572648,1,1,1,0.2691820585584471,0.1738459221161934,332,0.06752116412435757
146505e14,1,12695,12622.459946468354,1,0,1,0,0.07912071317446794,0,0.1787823807307691,0,0,1,0,1,0.891018225651064,1,0.7537431060384615,1,0,1,0.29419194453044906,0.10550870622801502,318,0.10999477207936245
13645891850117116e3,2,12699,12624.034747729023,1,0,1,0,0.12460854372312873,0,0.2771465886255791,0,0.1263294219970703,1,0.1263294219970703,1,0.8598567069500916,1,0.6883019861476173,1,1,1,0.2675808577085192,0.14780628044832247,333,0.07285083226324642
151836e14,2,12679,12626.82769986994,1,0,1,0,0.0731882777253219,0,0.16556183213592232,0,0,1,0,1,0.8704482612060085,1,0.7069363578737864,1,1,1,0.29775752498342406,0.17694717238579294,317,0.1028133100901554
17849857623809577e3,5,12712,12628.913303852136,1,0,1,0,0.08624614568463752,0,0.1929190100840568,0,0,1,0,1,0.8032796718837585,1,0.5599676871084065,1,0,1,0.2700862927565679,0.17726281026414692,330,0.06473023116656577
152427e14,2,12671,12628.950705545472,1,0,1,0,0.09102295878879317,0,0.20111739465714298,0,0.067826331,1,0.067826331,1,0.8409196986422411,1,0.6485082865238097,1,1,1,0.27221944799382947,0.13951200565180705,317,0.06937564101754565
920384e12,1,12712,12629.108820619624,1,0,1,0,0.07924826064556972,0,0.18059459397115374,0,0,1,0,0.624633431,0.8642085114725738,1,0.696661570471154,0.9931678912903226,0,1,0.3026708197648795,0.1521101221358996,316,0.06898320503059585
174249e14,1,12726,12634.986312674611,0.947539508,0,0.947539508,0,0.09461017446153852,0,0.2049887113333333,0,0.074998096,1,0.074998096,1,0.8648599724829061,1,0.7071966070462963,1,1,1,0.28222717557880456,0.1424891926419523,317,0.0613281370906029
1686956066918641200,3,12712,12636.331484552053,1,0,1,0,0.10414535795342038,0,0.23054399752081953,0,0,1,0,1,0.8182037773912482,1,0.5975622080712234,1,1,1,0.25296013117465505,0.13115933652245207,331,0.08081851065934365
3397261924944538600,7,12728,12639.261204249522,0.994125247001648,0,0.994125247001648,0,0.11049004589498723,0,0.24669760247242864,0,0,1,0,1,0.8063538801284602,1,0.5676349564937171,1,1,1,0.2684403503489161,0.1465212207408338,331,0.0755212313025151
994336e13,2,12710,12645.389223953396,0.94752425,0,0.94752425,0,0.09638338268669519,0,0.21593584775000005,0,0.056260012,1,0.056260012,1,0.8430901680901288,1,0.6484616265865385,1,1,1,0.27948019483084946,0.17388767209899889,317,0.06847361157812919
97185831637688192,2,12729,12646.542755365534,1,0,1,0,0.12460888443967795,0,0.2782215609472113,0,0,1,0,1,0.8749742320087883,1,0.7208476387092778,1,1,1,0.2802972861397133,0.1624610762913569,332,0.12141477466017782
994336e13,1,12726,12647.280732312684,0.917021453,0,0.917021453,0,0.08705939596249992,0,0.19169041312844026,0,0,1,0,1,0.8466046768666667,1,0.6622488297981652,1,1,1,0.28506048495816294,0.15507247027864948,317,0.06308039667412293
13645891850117116e3,1,12749,12652.40138733476,1,0,1,0,0.11469996515221492,0,0.260123135255916,0,0.07518118619918823,1,0.07518118619918823,1,0.850818971010644,1,0.6616787378277096,1,1,1,0.27995310029899034,0.14417187463088602,333,0.07856066744970884
16597095390720266e3,2,12745,12654.77533529807,1,0,1,0,0.1293150878869569,0,0.28984416250524847,0,0,1,0,0.974166452884674,0.852486755526983,1,0.675079515781896,0.9933733260631561,0,1,0.28317241346118555,0.14550860059958529,329,0.07708965524856037
11440267201681189e3,4,12729,12659.249111349927,1,0,1,0,0.10537756792481813,0,0.23327171019254594,0,0,1,0,1,0.8712572757169089,1,0.7150054223134983,1,0,1,0.2698730476202106,0.12827476694236456,331,0.09338743037751511
141633e14,2,12737,12665.53778885656,0.794186354,0,0.794186354,0,0.06613940101702129,0,0.15542759239000004,0,0,1,0,1,0.8509366699021275,1,0.6497011742700002,1,0,0,0.31397278231865206,0.10011310073396626,305,0.0838841534330676
136746e14,1,12760,12671.564658403024,1,0,1,0,0.06850237119502085,0,0.16028224716504855,0,0,1,0,1,0.8474989294730287,1,0.6431771068252425,1,1,1,0.2841590948082496,0.14689411345011574,316,0.05964649009209739
6231027125348401e3,1,12729,12677.589701718603,1,0,1,0,0.09445181322143803,0,0.20731372563010525,0,0,1,0,1,0.8217616039669885,1,0.6087818256563555,1,0,1,0.25753043848846785,0.10503616659262952,332,0.06830933000224353
238225001016730240,1,12728,12677.640800073144,0.9540855884552002,0,0.9540855884552002,0,0.08777036568200255,0,0.1926485145054126,0,0,1,0,1,0.7934678424883308,1,0.5466794169870981,1,1,1,0.21633984597260403,0.20581702479424088,329,0.06903112430163881
183347e13,3,12776,12688.620575588937,0.853376031,0,0.853376031,0,0.0853578378148147,0,0.19029316136697252,0,0.005676356,1,0.005676356,1,0.8509657609670782,1,0.6677493570183487,1,1,1,0.2757629284104675,0.18173557800450313,317,0.060254274229040915
3397261924944538600,8,12762,12689.13542411138,1,0,1,0,0.11055601571614936,0,0.24359800073049828,0,0,1,0,1,0.8153846150980549,1,0.5932203383516456,1,1,1,0.2628578192979356,0.11774863200505344,332,0.07220795102039958
5281819728018242e3,2,12729,12689.268700035376,1,0,1,0,0.10172370948530324,0,0.22518325433071332,0,0,1,0,1,0.80550850714956,1,0.5694590030062914,1,0,1,0.2764432655585318,0.15050599973820464,332,0.06472002983974978
1792376595243987e4,2,12762,12689.33547793172,1,0,1,0,0.10375068532338945,0,0.2296703205022039,0,0,1,0,1,0.8267340423920442,1,0.6164454442695678,1,0,1,0.25169741429470127,0.0842815995341867,330,0.06912279777303391
107933e14,2,12771,12692.212611823685,1,0,1,0,0.07510686207264954,0,0.17063112354368934,0,0,1,0,1,0.8693501025555554,1,0.7031837281359224,1,0,1,0.28341818441096367,0.08757398096005674,316,0.0740421040526211
50719e14,2,12779,12695.856790920276,1,0,1,0,0.06942771759071732,0,0.1567082768476192,0,0,0.898338199,0,1,0.8769578826877639,0.9950408877560976,0.7242127790380951,1,0,0,0.28854342926430643,0.1660010901333376,308,0.07259421523579339
12092e15,2,12762,12697.92795042492,1,0,1,0,0.08533619218143455,0,0.1944680533365383,0,0,1,0,1,0.877474689265823,1,0.7207836668846154,1,0,0,0.2911980660421248,0.10985741509211334,318,0.0617988568909437
765972e13,2,12762,12699.786339573186,0.691004813,0,0.691004813,0,0.08279374966964297,0,0.18545799926000003,0,0,1,0,1,0.8279186972098216,1,0.6145378817500001,1,1,1,0.2607584732974691,0.14227585053834058,317,0.06576967211399161
