"","REFTYPE","SESSION_IDENTIFIER","FRAME","WORLDPOSX","WORLDPOSY","WORLDPOSZ","c1dist","c2dist","closeToOne","closeToTwo","inRange","distfromrandpoint","distToNext","LAP_DISTANCE_TOTAL","LAP_DISTANCE_PERC"
"5370","LEFT",18118509207215331328,901,158.590911865234,426.189697265625,2.7444212436676,319.609544355185,396.567830950668,TRUE,TRUE,TRUE,531.765503592795,2.24165127906939,53.1562620968769,0.0585331497014669
"5371","LEFT",18118509207215331328,902,159.799224853516,425.018798828125,2.73809218406677,317.929525933169,394.934522018029,TRUE,TRUE,TRUE,532.262673731353,1.68256453920469,54.8388266360816,0.0603859098123294
"5372","LEFT",18118509207215331328,903,161.412445068359,423.455993652344,2.72924995422363,315.686913505749,392.754930341401,TRUE,TRUE,TRUE,532.933590003608,2.24607201109608,57.0848986471776,0.0628591775719428
"5373","LEFT",18118509207215331328,904,162.623291015625,422.282806396484,2.72234058380127,314.003559231214,391.119318876845,TRUE,TRUE,TRUE,533.442985737625,1.68597634779389,58.7708749949715,0.064715694604286
"5124","LEFT",18118509207215331328,905,163.83625793457,421.107940673828,2.71478915214539,312.317561479915,389.481593161557,TRUE,TRUE,TRUE,533.95778630151,1.68866758502918,60.4595425800007,0.0665751750991783
"5125","LEFT",18118509207215331328,906,165.051193237305,419.931671142578,2.70648097991943,310.6292264731,387.842075424927,TRUE,TRUE,TRUE,534.477821963804,1.69105818941199,62.1506007694127,0.0684372880140095
"5374","LEFT",18118509207215331328,907,166.668395996094,418.365753173828,2.69402074813843,308.381791908849,385.660244660567,TRUE,TRUE,TRUE,535.177713608152,2.2510983647742,64.4016991341869,0.0709160905554281
"5126","LEFT",18118509207215331328,908,167.883453369141,417.189849853516,2.68343567848206,306.693713866229,384.022019888652,TRUE,TRUE,TRUE,535.708626311269,1.6908911965344,66.0925903307213,0.0727780195856384
"5375","LEFT",18118509207215331328,909,169.507110595703,415.619537353516,2.66962313652039,304.438770907685,381.834482367263,TRUE,TRUE,TRUE,536.424649563724,2.25879262815888,68.3513829588802,0.0752652946842455
"5376","LEFT",18118509207215331328,910,170.724960327148,414.442291259766,2.65981316566467,302.747888621306,380.19473708825,TRUE,TRUE,TRUE,536.966788855748,1.69383184927875,70.0452148081589,0.0771304618215106
"5127","LEFT",18118509207215331328,911,172.350555419922,412.871490478516,2.64588785171509,300.491377075078,378.007245162352,TRUE,TRUE,TRUE,537.697363213026,2.26052527082196,72.3057400789809,0.0796196448238787
"5377","LEFT",18118509207215331328,912,173.573165893555,411.691314697266,2.6348671913147,298.79519599247,376.363646735107,TRUE,TRUE,TRUE,538.251319873489,1.69929139493075,74.0050314739116,0.0814908237533644
