"LAP_DISTANCE","LAP_TIME","WORLDPOSX","WORLDPOSY","THROTTLE","BRAKE","GEAR","LATERAL","SPEED_KPH","ENGINE_RPM","STEERING"
430,10503.7784981467,370.854735092305,152.819061351782,0.409341409752949,0.0135394516819925,2,0.263708531603105,85,8110,-0.187762673119642
440,10946.2690585114,367.468741520133,142.997460664518,0.322701046348523,0.00914044143299433,2,0.311198182474642,90,8522,-0.196916036586439
450,11363.8751749011,364.446115768831,132.971875565964,0.370592144152387,7.77732304056845e-05,2,0.399938265850072,94,8642,-0.295538593819678
460,11767.6476316322,363.717156222373,122.494487799991,0.455318894270139,0.000196841382421553,2,0.383762118324653,98,9089,-0.225582999652455
470,12154.1651885958,364.196019602465,112.085082575539,0.447591346598986,0.000297550926916301,2,0.34972036913561,103,9363,-0.0408597349671512
480,12518.8039612025,366.080399979001,101.931337501654,0.410513240018554,0,2,0.269851723578695,107,9338,-0.0694024329348066
490,12871.2914398549,368.254920863674,91.8759496061073,0.394884981743445,0,2,0.230983080552189,112,9707,-0.125257581128927
500,13212.3625003584,370.658944949362,81.889447116903,0.290901516430603,0,2,0.241037592295501,115,9972,-0.106331753380341
510,13545.8943633503,373.472824194264,71.952155629642,0.316110949508255,0,2,0.293023248117976,119,10303,-0.123237011956534
520,13869.2110653494,377.988051592582,62.7033966056621,0.263264057201155,0,2,0.272106630807944,121,10209,-0.143337898526951
530,14185.9471242516,382.698954866052,53.5449186083824,0.277053059996367,0,2,0.31018801735293,124,10065,-0.141959973005062
540,14499.6815844884,388.355933074458,44.8044959159207,0.342774478730359,0,2,0.360980652342376,126,10273,-0.112962553811505
550,14803.8314588677,394.487033268258,36.4601562263083,0.308132094021069,0,2,0.440801813347209,129,10278,-0.0991937113955167
560,15097.6392990799,401.141382206057,28.7152980071928,0.318273225361589,0,2,0.490260292150918,132,10496,-0.0927481171749823
570,15386.5497879888,408.23291529287,21.3798215159903,0.313625704127112,0,3,0.515797003288898,134,10256,-0.0843946812580899
580,15671.6973651322,415.708548324625,14.4036909248677,0.299091893368523,0,3,0.531160542994959,136,10173,-0.0422978412017088
590,15949.8897498533,423.223549224515,7.66916355024198,0.257358061958705,0,3,0.552093603984396,138,10468,-0.0159358971651626
600,16224.5660060806,430.973172969622,1.32751864306125,0.269728161333101,0.013648281470568,3,0.537153009869763,139,10243,0.0248225029747686
610,16494.0089914937,438.522750823206,-5.16031012895672,0.256667397275039,0.0248758462898801,3,0.541574150409127,140,10346,0.0185335862890616
620,16761.0762377816,445.990785716946,-11.7375676897544,0.273927707754631,0.0119784152390976,3,0.550578718426609,141,10217,-0.000397166597972822
630,17022.7908468727,453.372195944739,-18.3033293363585,0.346649139552,0,3,0.553779045620517,143,10455,0.00931474317131954
640,17281.6016783644,460.773820977401,-24.9457909306584,0.373678782989512,0,3,0.544436884507533,146,10408,0.0275500244585562
650,17537.2645419915,468.15471616862,-31.7641318307842,0.433537170030972,0,3,0.541915988410797,150,10702,0.0234026679950974
660,17786.4127333975,475.326583283607,-38.7789886641532,0.368755433607294,0,3,0.573577969261809,153,10816,0.0131924147429862
670,18030.9568007964,482.367331004219,-45.839198844071,0.354555599754635,0,3,0.615057885355283,155,10843,0.00311652338609894
680,18270.1728268008,489.539928035479,-52.6819708489909,0.386072154969378,0,3,0.620667543805328,158,10848,0.0115048371243075
690,18503.7218681507,496.426338090492,-59.7072659217368,0.406773234911692,0,3,0.646182125883353,160,10979,0.01755959313811
700,18734.8073711944,503.497707311819,-66.6412054504257,0.416431092786847,0,3,0.64014087693875,163,10954,0.00926111760474711
710,18962.784511375,510.318265205658,-73.8236463600821,0.383614125739285,0,3,0.658378852808077,165,11120,-0.00413028402251029
720,19191.1323406998,517.406806746809,-80.8685997416306,0.38327314735293,0,4,0.635323734168402,167,10882,0.00172027148404716
730,19416.9283460027,524.32599408006,-88.0872694149306,0.38656859559049,0,4,0.62825254984931,169,10866,0.00552246698481351
740,19641.0012212271,531.385508082147,-95.2031633864732,0.37270637142573,0,4,0.595729663966534,171,10956,0.0245191497861317
750,19861.4613401359,538.182690868494,-102.506869299753,0.380251205406511,0,4,0.592260016850659,173,11062,0.0346597578016697
760,20079.3281035683,544.928735787541,-109.808776749999,0.384811036408867,0,4,0.58482460494707,175,11157,0.0103629507690692
