"","REFTYPE","SESSION_IDENTIFIER","FRAME","WORLDPOSX","WORLDPOSY","WORLDPOSZ","c1dist","c2dist","closeToOne","closeToTwo","inRange","distfromrandpoint"
"2661","RIGHT",14023301428294604800,892,218.871856689453,349.200805664062,2.2644784450531,222.301281945138,299.503762965856,TRUE,TRUE,TRUE,579.816485433317
"2662","RIGHT",14023301428294604800,893,220.104431152344,348.011535644531,2.25593590736389,220.58888641448,297.857352550642,TRUE,TRUE,TRUE,580.563244162538
"2663","RIGHT",14023301428294604800,894,221.341247558594,346.818176269531,2.24644207954407,218.870606134372,296.20603557257,TRUE,TRUE,TRUE,581.316677835487
"2672","RIGHT",14023301428294604800,895,222.989410400391,345.228515625,2.23362302780151,216.581281546297,294.007229300272,TRUE,TRUE,TRUE,582.326496654619
"2673","RIGHT",14023301428294604800,896,224.228652954102,344.03369140625,2.22353172302246,214.860267198034,292.355256847527,TRUE,TRUE,TRUE,583.090132598461
"1607","RIGHT",14023301428294604800,897,225.469940185547,342.837341308594,2.21205759048462,213.136736328317,290.701754246452,TRUE,TRUE,TRUE,583.858690111668
"1608","RIGHT",14023301428294604800,898,227.130340576172,341.237365722656,2.19407415390015,210.831500313699,288.491520409133,TRUE,TRUE,TRUE,584.892811217463
"1609","RIGHT",14023301428294604800,899,228.372634887695,340.041015625,2.18100690841675,209.107277303584,286.839471450662,TRUE,TRUE,TRUE,585.67057006279
"1610","RIGHT",14023301428294604800,900,229.619094848633,338.8408203125,2.16973304748535,207.377398611063,285.182892453056,TRUE,TRUE,TRUE,586.454838660017
"1611","RIGHT",14023301428294604800,901,230.86994934082,337.63720703125,2.16173219680786,205.642007106516,283.522069501218,TRUE,TRUE,TRUE,587.245165966983
"1612","RIGHT",14023301428294604800,902,232.118881225586,336.435180664062,2.15590763092041,203.909104494847,281.864471846375,TRUE,TRUE,TRUE,588.038583456984
"1613","RIGHT",14023301428294604800,903,233.786987304688,334.830413818359,2.14812326431274,201.595099195333,279.652579839404,TRUE,TRUE,TRUE,589.103918450709
"1614","RIGHT",14023301428294604800,904,235.043930053711,333.621765136719,2.14076375961304,199.851875633057,277.987489240061,TRUE,TRUE,TRUE,589.910849144997
"1615","RIGHT",14023301428294604800,906,236.296371459961,332.417724609375,2.13304877281189,198.115103420353,276.329572475484,TRUE,TRUE,TRUE,590.718644817289
"1616","RIGHT",14023301428294604800,907,237.975051879883,330.804962158203,2.12441277503967,195.788020579693,274.109883508706,TRUE,TRUE,TRUE,591.806619527909
"1617","RIGHT",14023301428294604800,908,239.249740600586,329.581237792969,2.11932682991028,194.021634430611,272.426392224231,TRUE,TRUE,TRUE,592.636659492796
"2493","RIGHT",14023301428294604800,909,240.911483764648,327.985534667969,2.11043787002563,191.718624757717,270.232964699535,TRUE,TRUE,TRUE,593.725276998592
"2494","RIGHT",14023301428294604800,910,242.171493530273,326.774810791016,2.10175943374634,189.971829177614,268.57034457951,TRUE,TRUE,TRUE,594.556099117771
"2495","RIGHT",14023301428294604800,911,243.433212280273,325.562652587891,2.09261059761047,188.222823982617,266.906738435382,TRUE,TRUE,TRUE,595.391824867233
"2505","RIGHT",14023301428294604800,912,245.112411499023,323.948394775391,2.08029580116272,185.894397435927,264.693495651441,TRUE,TRUE,TRUE,596.511204382195
"2506","RIGHT",14023301428294604800,913,246.373886108398,322.734039306641,2.07132697105408,184.144026199426,263.030671413423,TRUE,TRUE,TRUE,597.358328178877
"2507","RIGHT",14023301428294604800,915,248.051651000977,321.117523193359,2.05978298187256,181.815033881515,260.819640333627,TRUE,TRUE,TRUE,598.492458362944
"2508","RIGHT",14023301428294604800,916,249.305908203125,319.906585693359,2.05128121376038,180.07218840637,259.165895679592,TRUE,TRUE,TRUE,599.347210408475
"2509","RIGHT",14023301428294604800,917,250.562637329102,318.691741943359,2.0425853729248,178.324835666056,257.508728742837,TRUE,TRUE,TRUE,600.208977146193
"2510","RIGHT",14023301428294604800,918,252.2294921875,317.076812744141,2.03090763092041,176.004673825834,255.309395459182,TRUE,TRUE,TRUE,601.3614264481
"2470","RIGHT",14023301428294604800,919,253.47868347168,315.863922119141,2.02216649055481,174.264021612132,253.660240879732,TRUE,TRUE,TRUE,602.232059657426
"2471","RIGHT",14023301428294604800,920,254.7255859375,314.651519775391,2.013596534729,172.525330999091,252.013796306376,TRUE,TRUE,TRUE,603.106540076016
"4406","RIGHT",14023301428294604800,921,255.969985961914,313.440093994141,2.00501418113708,170.789099531084,250.370606053496,TRUE,TRUE,TRUE,603.984410624491
"4407","RIGHT",14023301428294604800,922,257.214019775391,312.227020263672,1.99636995792389,169.051957134199,248.72737841423,TRUE,TRUE,TRUE,604.867681279819
"4408","RIGHT",14023301428294604800,923,258.455718994141,311.014129638672,1.98770153522491,167.316588606397,247.086649302833,TRUE,TRUE,TRUE,605.755015638135
"4409","RIGHT",14023301428294604800,924,260.100280761719,309.404815673828,1.97650146484375,165.016125266749,244.913006862334,TRUE,TRUE,TRUE,606.938714527435
"4410","RIGHT",14023301428294604800,926,261.333923339844,308.196319580078,1.96889007091522,163.289552988233,243.282859221421,TRUE,TRUE,TRUE,607.832112490682
"4411","RIGHT",14023301428294604800,927,262.565948486328,306.987335205078,1.96252405643463,161.563770980802,241.65432976424,TRUE,TRUE,TRUE,608.729939400583
"4412","RIGHT",14023301428294604800,928,263.794250488281,305.780364990234,1.95719599723816,159.842039865419,240.03060584165,TRUE,TRUE,TRUE,609.630200064915
"4413","RIGHT",14023301428294604800,929,265.022094726562,304.572357177734,1.95208275318146,158.119894161049,238.40752765616,TRUE,TRUE,TRUE,610.535103617216
"4414","RIGHT",14023301428294604800,930,266.245788574219,303.366790771484,1.94677734375,156.402402488998,236.789853414915,TRUE,TRUE,TRUE,611.442045846089
"4415","RIGHT",14023301428294604800,931,267.468597412109,302.159881591797,1.94139814376831,154.684575575198,235.172769622989,TRUE,TRUE,TRUE,612.353966142335
"4416","RIGHT",14023301428294604800,932,268.686950683594,300.956420898438,1.93633377552032,152.972335159254,233.562155441609,TRUE,TRUE,TRUE,613.266929308587
"3815","RIGHT",14023301428294604800,933,270.309783935547,299.350952148438,1.93042874336243,150.689890138915,231.416870997032,TRUE,TRUE,TRUE,614.490708495932
"3816","RIGHT",14023301428294604800,934,271.523956298828,298.148254394531,1.92640459537506,148.981130021892,229.812169297026,TRUE,TRUE,TRUE,615.411746307669
"3817","RIGHT",14023301428294604800,935,272.735321044922,296.946105957031,1.92240929603577,147.274729218115,228.210663708008,TRUE,TRUE,TRUE,616.336188804395
"3818","RIGHT",14023301428294604800,936,274.348297119141,295.343078613281,1.91683888435364,145.000939424535,226.078478529522,TRUE,TRUE,TRUE,617.574564743177
